Serial No.,District/State,Female Literacy,% of Agriculture Labour 2011,"Wealth Index Score, 2011",MPCE(MMRP) at 2011-12,"Poverty Head Ratio (%), 2010 - 2011","Poverty Gap Ratio (%), 2010-11","Squared Poverty Gap Ratio %, 2010-11","Gini, 2010 - 2011",Log Mean Deviation,Theil Index,All India Rank of District in poverty head count ratio,Distric Rank in Poverty Head Count Ratio among all Districts in the State,"Sample Size, NSS"
176,Bilaspur,77.97,1.88,35.62,"2,248",13.17,1.88,0.41,0.38,0.24,0.74,84,8,256
177,Mandi,73.66,2.45,34.42,"1,594",14.31,2.66,0.74,0.24,0.10,0.18,102,9,512
178,Kullu,70.91,3.49,31.43,"1,658",15.57,2.11,0.41,0.26,0.11,0.16,124,10,256
179,Chamba,61.67,2.79,27.08,"1,608",18.08,3.18,0.91,0.27,0.12,0.23,159,11,320
180,Solan,76.97,2.78,42.48,"1,893",19.39,2.59,0.55,0.32,0.16,0.23,175,12,320
,Himachal Pradesh,75.93,4.29,36.84,"1,997",10.50,1.72,0.45,0.30,0.15,0.29,,,"4,082"
181,Kupwara,50.95,24.33,21.37,"1,707",5.26,0.60,0.10,0.20,0.07,0.10,19,1,348
182,Rajouri,56.57,7.93,19.61,"1,770",6.62,0.96,0.18,0.21,0.07,0.09,25,2,184
183,Kargil,56.30,6.78,29.68,"2,021",7.12,0.80,0.11,0.23,0.09,0.15,27,3,128
184,Leh,63.56,1.81,44.12,"2,021",7.12,0.80,0.11,0.23,0.09,0.15,28,4,128
185,Anantnag,52.19,19.19,30.45,"1,721",7.70,1.41,0.38,0.17,0.05,0.05,32,5,719
186,Pulwama,51.80,17.88,35.50,"1,717",8.55,1.98,0.90,0.20,0.07,0.10,39,6,376
187,Poonch,53.19,18.97,15.48,"1,758",9.22,1.72,0.33,0.22,0.08,0.18,48,7,128
188,Jammu,77.13,6.90,48.28,"2,417",10.83,2.02,0.54,0.31,0.15,0.23,63,8,"1,241"
189,Kathua,63.72,10.18,30.37,"1,884",12.21,2.70,0.93,0.24,0.09,0.11,73,9,280
190,Baramulla,52.38,20.13,34.69,"1,623",14.30,2.26,0.58,0.20,0.06,0.08,100,10,666
191,Budgam,44.85,16.73,34.72,"1,378",21.16,3.89,1.16,0.19,0.06,0.07,204,11,360
192,Srinagar,61.85,2.43,63.25,"1,840",31.15,6.44,1.89,0.28,0.12,0.16,300,12,912
193,Udhampur,57.10,4.29,24.35,"1,416",34.87,6.79,2.01,0.26,0.11,0.22,333,13,472
194,Doda,49.69,7.75,17.95,"1,247",36.52,7.34,2.35,0.21,0.07,0.09,351,14,288
195,Samba,73.64,6.41,38.44,,,,,,,,,,
196,Reasi,46.59,2.55,18.77,,,,,,,,,,
197,Ramban,38.04,9.90,15.14,,,,,,,,,,
198,Kishtwar,42.36,18.54,14.61,,,,,,,,,,
199,Kulgam,48.49,18.45,28.65,,,,,,,,,,
200,Shopian,50.90,12.14,37.92,,,,,,,,,,
201,Ganderbal,45.71,18.37,34.12,,,,,,,,,,
202,Bandipora,44.34,20.99,30.23,,,,,,,,,,
,Jammu and Kashmir,56.43,12.29,33.46,"1,791",16.55,3.18,0.94,0.26,0.11,0.17,,,"6,102"
203,Palamu,52.09,49.77,20.77,"1,691",28.17,7.48,2.63,0.36,0.21,0.35,276,1,384
204,Bokaro,60.63,17.59,35.76,"1,405",32.84,5.92,1.52,0.29,0.13,0.18,312,2,376
205,Hazaribagh,58.95,24.18,30.14,"1,196",33.29,6.36,1.68,0.24,0.10,0.14,317,3,320
206,Pakur,40.52,32.60,13.77,"1,063",39.79,9.78,3.65,0.23,0.09,0.11,390,4,256
207,Dhanbad,64.29,11.51,35.71,"1,500",41.15,10.64,3.75,0.34,0.18,0.32,398,5,384
208,Khunti,53.69,16.00,18.58,"1,081",41.38,9.76,3.28,0.23,0.09,0.18,405,6,191
209,Ranchi,67.44,19.64,37.78,"1,471",42.84,9.79,3.17,0.34,0.18,0.27,426,7,319
210,Jamtara,52.15,39.28,23.55,"1,038",45.11,9.35,2.90,0.21,0.07,0.10,442,8,191
211,Giridih,48.72,32.84,26.28,"1,020",47.69,9.90,2.85,0.21,0.07,0.09,469,9,256
212,Purbi Singhbhum,66.81,23.52,39.22,"1,083",49.54,11.54,3.54,0.26,0.11,0.15,489,10,190
213,Deoghar,51.80,34.87,24.69,"1,086",52.31,13.08,4.30,0.27,0.12,0.16,516,11,255
214,Garhwa,47.58,54.40,16.24,"1,006",53.63,10.61,3.07,0.22,0.08,0.09,525,12,255
215,Kodarma,53.23,22.32,27.16,"1,039",54.87,12.98,4.56,0.27,0.12,0.16,532,13,191
216,Chatra,49.92,42.24,20.22,920,60.74,12.87,3.82,0.21,0.07,0.18,569,14,192
217,Latehar,48.68,41.56,15.57,967,60.79,13.42,3.98,0.25,0.10,0.21,570,15,192
218,Gumla,55.90,17.00,19.47,926,61.46,12.70,3.71,0.21,0.08,0.14,573,16,192
219,Lohardaga,57.69,32.23,22.22,887,63.30,17.82,7.27,0.24,0.10,0.10,579,17,192
220,Godda,44.14,51.08,17.70,868,66.74,13.94,3.77,0.18,0.05,0.08,589,18,255
221,Dumka,48.82,44.46,17.59,920,66.75,14.86,4.64,0.23,0.09,0.13,590,19,255
222,Sahibganj,43.31,36.12,14.30,889,68.33,17.29,5.91,0.23,0.08,0.12,594,20,255
223,Ramgarh,63.09,13.04,34.62,834,69.55,15.84,4.37,0.18,0.06,0.10,599,21,192
