Serial No.,District/State,Female Literacy,% of Agriculture Labour 2011,"Wealth Index Score, 2011",MPCE(MMRP) at 2011-12,"Poverty Head Ratio (%), 2010 - 2011","Poverty Gap Ratio (%), 2010-11","Squared Poverty Gap Ratio %, 2010-11","Gini, 2010 - 2011",Log Mean Deviation,Theil Index,All India Rank of District in poverty head count ratio,Distric Rank in Poverty Head Count Ratio among all Districts in the State,"Sample Size, NSS"
462,Dausa,51.93,8.82,25.36,"1,535",21.10,2.75,0.63,0.22,0.08,0.10,202,8,192
463,Tonk,45.45,12.96,27.73,"1,671",21.48,3.37,0.79,0.29,0.15,0.32,207,9,188
464,Ganganagar,59.70,20.92,33.86,"1,732",21.72,3.60,1.01,0.25,0.10,0.12,209,10,316
465,Bikaner,53.23,8.78,29.53,"1,731",23.70,4.27,1.14,0.29,0.13,0.18,225,11,256
466,Barmer,40.63,9.51,19.15,"1,503",23.82,4.23,0.94,0.25,0.10,0.17,227,12,255
467,Alwar,56.25,10.45,33.82,"2,147",24.26,4.32,1.23,0.39,0.26,0.86,230,13,279
468,Jalor,38.47,13.16,19.74,"1,557",24.77,2.85,0.49,0.25,0.10,0.16,234,14,256
469,Kota,65.87,15.09,40.05,"1,695",24.79,5.76,1.86,0.28,0.14,0.30,235,15,224
470,Nagaur,47.82,14.96,26.23,"1,548",25.32,3.21,0.71,0.22,0.08,0.10,244,16,351
471,Ajmer,55.68,10.03,37.47,"1,783",25.35,5.03,1.67,0.31,0.16,0.26,246,17,318
472,Bhilwara,47.21,10.64,30.79,"1,541",26.33,5.72,1.93,0.24,0.10,0.13,257,18,255
473,Rajsamand,47.95,15.61,26.19,"1,440",26.64,4.90,1.28,0.24,0.10,0.17,259,19,192
474,Jaisalmer,39.71,13.64,20.27,"1,393",27.20,3.36,0.72,0.20,0.06,0.10,269,20,160
475,Chittaurgarh,46.53,10.48,32.79,"1,551",32.56,6.10,1.88,0.30,0.15,0.28,309,21,256
476,Sawai Madhopur,47.51,12.28,22.75,"1,392",34.42,6.03,1.54,0.21,0.07,0.08,331,22,192
477,Udaipur,48.45,19.21,24.67,"1,431",37.87,8.98,2.72,0.28,0.13,0.20,369,23,320
478,Bundi,46.55,17.56,28.32,"1,416",37.88,5.10,1.01,0.24,0.09,0.13,370,24,192
479,Jhalawar,46.53,24.27,23.44,"1,245",39.32,8.68,2.88,0.20,0.07,0.08,384,25,192
480,Karauli,48.61,14.93,18.57,"1,278",39.78,8.58,2.59,0.23,0.09,0.11,388,26,191
481,Baran,51.96,27.98,25.18,"1,277",42.02,6.17,1.23,0.20,0.07,0.09,414,27,192
482,Banswara,43.06,18.00,9.86,"1,346",42.89,7.55,2.36,0.27,0.13,0.20,427,28,256
483,Dhaulpur,54.67,12.99,22.70,"1,307",44.24,11.40,3.88,0.25,0.10,0.13,438,29,189
484,Sirohi,39.73,17.12,23.94,"1,209",47.24,12.89,4.89,0.29,0.13,0.21,464,30,152
485,Bharatpur,54.24,19.18,28.76,"1,168",51.04,14.61,5.71,0.25,0.10,0.16,502,31,250
486,Dungarpur,46.16,26.95,11.43,"1,178",52.15,9.91,2.80,0.24,0.10,0.19,513,32,192
487,Pratapgarh,42.35,15.48,19.26,,,,,,,,,,
,Rajasthan,52.12,13.47,29.57,"1,642",27.29,5.33,1.61,0.29,0.14,0.46,,,"8,257"
488,East District,78.50,6.72,32.91,"1,938",16.18,2.30,0.51,0.28,0.13,0.20,132,1,576
489,West District,70.86,9.34,18.73,"1,356",24.88,3.55,0.72,0.19,0.06,0.08,237,2,384
490,South District,75.82,4.91,23.94,"1,522",25.11,3.81,0.93,0.24,0.09,0.11,240,3,384
491,North District,70.97,8.23,23.81,"1,451",30.39,4.69,1.14,0.24,0.10,0.13,285,4,192
,Sikkim,75.61,6.99,27.10,"1,667",21.41,3.13,0.71,0.26,0.11,0.18,,,"1,536"
492,Thiruvallur,78.32,12.67,50.65,"2,351",9.29,1.66,0.48,0.30,0.15,0.24,50,1,576
493,Chennai,86.64,0.52,65.44,"3,312",11.43,2.33,0.65,0.34,0.19,0.25,67,2,704
494,Thanjavur,76.50,29.29,43.14,"1,933",14.30,3.67,1.46,0.28,0.13,0.20,99,3,448
495,Thiruvarur,76.72,40.61,43.34,"1,677",14.95,2.63,0.71,0.23,0.09,0.17,111,4,256
496,Namakkal,66.57,14.23,48.34,"2,100",15.39,2.70,0.76,0.32,0.17,0.37,120,5,320
497,Nagapattinam,77.58,38.88,41.51,"1,623",15.43,2.62,0.64,0.26,0.11,0.19,121,6,320
498,Kanyakumari,89.90,9.70,41.88,"2,323",15.84,2.84,0.81,0.36,0.22,0.47,126,7,384
499,Tiruchirappalli,76.87,17.61,47.43,"1,995",15.99,3.79,1.20,0.29,0.14,0.17,129,8,511
500,Kancheepuram,79.02,12.09,53.16,"2,305",16.06,2.64,0.61,0.31,0.16,0.22,131,9,637
501,Coimbatore,78.92,8.57,52.80,"2,497",16.20,2.58,0.61,0.34,0.20,0.44,133,10,888
502,Pudukkottai,69.00,25.28,41.66,"1,698",16.87,3.08,0.77,0.27,0.11,0.15,144,11,320
503,Perambalur,65.90,22.69,36.60,"1,755",17.15,2.83,0.77,0.27,0.12,0.14,149,12,192
504,Ariyalur,61.74,32.49,37.26,"1,595",19.40,4.36,1.28,0.24,0.10,0.13,176,13,191
505,Erode,64.71,16.91,49.13,"2,095",20.27,4.36,1.59,0.31,0.16,0.20,190,14,576
506,Karur,66.86,19.22,46.61,"2,069",20.57,3.53,0.94,0.30,0.15,0.42,193,15,256
507,Dindigul,68.33,25.01,38.66,"1,724",20.87,4.53,1.34,0.28,0.12,0.15,197,16,448
508,Madurai,77.16,17.07,45.05,"1,916",22.14,4.38,1.25,0.28,0.13,0.20,212,17,512
509,Theni,69.46,31.64,32.80,"1,647",22.40,5.25,1.64,0.24,0.10,0.16,213,18,256
510,Tirunelveli,75.98,17.58,40.66,"1,762",23.03,5.54,1.79,0.28,0.13,0.18,218,19,576
511,Vellore,71.95,16.41,40.79,"1,649",25.46,5.11,1.48,0.28,0.13,0.19,248,20,640
512,Ramanathapuram,73.52,17.72,37.83,"1,560",27.00,5.53,1.83,0.25,0.10,0.17,266,21,320
513,Thoothukudi,81.33,16.70,42.70,"1,478",30.69,6.32,1.88,0.20,0.07,0.10,291,22,384
514,Salem,65.15,14.52,43.15,"1,594",31.01,6.04,1.77,0.26,0.11,0.17,298,23,640
515,Tiruvannamalai,65.32,27.38,37.30,"1,459",35.95,7.34,2.06,0.29,0.15,0.31,344,24,448
516,Dharmapuri,59.80,20.51,37.68,"1,433",41.26,10.06,3.33,0.32,0.16,0.25,401,25,256
517,Sivaganga,71.85,22.98,43.92,"1,431",41.29,8.33,2.41,0.27,0.12,0.15,403,26,320
518,Virudhunagar,72.69,12.89,38.82,"1,512",42.17,8.38,2.51,0.27,0.12,0.18,415,27,376
519,The Nilgiris,78.98,12.79,31.55,"1,557",42.20,8.87,3.19,0.30,0.15,0.29,416,28,256
520,Krishnagiri,63.91,19.15,38.74,"1,514",46.48,14.13,5.41,0.39,0.25,0.41,457,29,314
521,Cuddalore,70.14,34.07,43.04,"1,312",50.73,11.16,3.52,0.27,0.12,0.18,496,30,512
522,Viluppuram,63.15,33.66,36.58,"1,044",63.56,20.03,7.69,0.27,0.12,0.16,580,31,448
523,Tiruppur,71.82,10.83,49.23,,,,,,,,,,
,Tamil Nadu,73.44,18.80,44.98,"1,926",24.90,5.49,1.74,0.33,0.18,0.31,,,"13,285"
524,Medak,55.69,24.81,27.90,"1,819",8.82,1.35,0.33,0.23,0.08,0.11,43,1,575
525,Rangareddy,79.35,1.22,62.25,"2,970",12.40,2.58,0.76,0.31,0.15,0.22,75,2,"1,010"
526,Mahbubnagar,57.44,31.91,25.89,"1,756",15.55,2.48,0.63,0.25,0.10,0.15,123,3,447
527,Karimnagar,54.79,24.20,30.31,"1,513",16.79,2.30,0.50,0.20,0.07,0.08,140,4,576
528,Adilabad,69.40,9.40,49.11,"2,411",16.96,3.56,1.11,0.37,0.22,0.37,145,5,823
529,Nizamabad,54.19,26.81,27.26,"1,676",18.85,2.86,0.65,0.27,0.13,0.44,163,6,512
530,Warangal,51.31,23.32,23.01,"1,546",20.80,3.36,0.76,0.23,0.09,0.15,196,7,448
531,Khammam,51.54,23.03,29.43,"1,407",24.57,5.75,1.89,0.23,0.09,0.12,233,8,383
532,Hyderabad,51.37,24.08,30.37,"1,400",32.83,4.79,1.07,0.26,0.12,0.29,311,9,448
533,Nalgonda,44.72,23.03,22.39,"1,419",35.21,11.03,4.18,0.32,0.17,0.26,337,10,575
,Telangana,,,,"1,949",18.88,3.77,1.12,0.17,0.30,0.32,"1,949",,
534,Dhalai,79.79,24.04,13.38,"1,870",2.55,0.56,0.17,0.17,0.05,0.06,3,1,448
535,North Tripura,83.75,16.01,16.74,"1,477",16.26,2.37,0.59,0.24,0.09,0.14,134,2,640
536,South Tripura,79.09,25.97,20.70,"1,378",19.20,4.09,1.29,0.24,0.10,0.15,172,3,831
537,West Tripura,84.75,19.49,28.16,"1,415",28.02,4.63,1.12,0.27,0.12,0.19,274,4,"1,792"
,Tripura,82.73,21.00,22.82,"1,463",21.04,3.64,0.95,0.25,0.10,0.16,,,"3,711"
538,Ghaziabad,69.79,7.24,54.38,"2,493",15.04,2.62,0.68,0.40,0.25,0.47,112,1,318
539,Gautam Buddha,70.82,7.67,65.02,"2,839",16.31,2.35,0.53,0.47,0.36,0.63,135,2,160
540,Nagar Muzaffarnagar,58.69,22.73,37.39,"1,484",19.55,2.57,0.57,0.27,0.12,0.27,182,3,383
541,Meerut,63.98,12.56,45.42,"2,658",22.65,4.51,1.35,0.46,0.34,0.69,216,4,319
542,Auraiya,70.61,31.73,31.22,"1,166",25.52,5.36,1.62,0.19,0.06,0.08,251,5,192
543,Pilibhit,50.00,34.56,29.33,"1,229",25.61,5.44,1.67,0.25,0.11,0.19,253,6,192
544,Saharanpur,61.74,24.33,37.42,"1,425",26.67,4.97,1.43,0.26,0.11,0.21,260,7,320
545,Hathras,59.23,30.36,36.26,"1,464",26.75,4.94,1.42,0.25,0.10,0.16,262,8,192
546,Aligarh,55.68,21.06,36.86,"1,401",27.68,6.50,2.09,0.28,0.12,0.20,272,9,288
547,Bulandshahr,55.57,18.51,35.58,"1,331",31.41,6.44,1.91,0.26,0.11,0.19,301,10,320
548,Mathura,56.89,19.00,38.32,"1,264",32.26,5.88,1.68,0.23,0.09,0.14,306,11,256
549,Kanpur Dehat,66.86,33.42,31.33,"1,136",32.27,7.15,2.80,0.20,0.07,0.08,307,12,192
550,Jhansi,63.49,25.39,38.93,"1,664",32.93,6.23,1.84,0.34,0.19,0.33,314,13,256
551,Baghpat,59.95,16.16,41.82,"1,359",33.54,8.43,2.87,0.28,0.13,0.26,321,14,159
552,Deoria,59.38,30.81,35.45,"1,330",34.26,7.57,2.52,0.31,0.17,0.46,330,15,288
553,Shrawasti,34.78,37.26,24.77,"1,020",35.24,5.70,1.53,0.15,0.04,0.04,338,16,192
554,Jyotiba Phule Nagar,52.10,20.11,30.57,"1,210",35.75,7.32,2.22,0.24,0.09,0.11,342,17,192
555,Sultanpur,58.28,36.31,35.63,"1,240",37.48,9.71,3.45,0.31,0.17,0.38,360,18,320
556,Varanasi,66.69,12.33,45.63,"1,503",37.55,11.07,4.42,0.32,0.17,0.23,363,19,349
557,Etawah,69.61,29.48,32.35,"1,181",38.31,8.03,2.47,0.21,0.07,0.11,376,20,191
558,Lalitpur,50.84,21.86,26.84,"1,115",39.66,7.77,2.07,0.23,0.09,0.13,387,21,160
559,Kanpur Nagar,75.05,14.65,43.78,"1,543",40.04,9.62,3.09,0.33,0.18,0.26,391,22,384
560,Bareilly,48.30,22.21,35.27,"1,241",41.00,9.00,2.97,0.27,0.12,0.25,396,23,351
561,Ghazipur,60.29,30.31,35.17,"1,074",41.86,10.24,3.19,0.24,0.10,0.18,412,24,319
562,Kushinagar,52.36,43.82,30.86,"1,087",42.53,9.83,3.48,0.24,0.10,0.13,420,25,320
563,Gorakhpur,59.36,30.98,39.68,"1,319",42.63,9.68,3.39,0.32,0.17,0.47,423,26,376
564,Lucknow,71.54,11.88,52.88,"2,008",42.64,10.38,3.33,0.42,0.29,0.49,424,27,384
565,Kheri,50.42,31.19,26.09,"1,167",42.75,8.85,2.80,0.24,0.09,0.12,425,28,320
566,Bijnor,59.72,26.97,34.17,"1,156",43.81,10.34,3.74,0.25,0.11,0.20,433,29,320
567,Siddharthnagar,47.41,40.91,31.21,"1,143",43.92,8.83,2.69,0.27,0.11,0.18,436,30,224
568,Farrukhabad,59.44,21.73,30.94,"1,136",44.39,11.76,3.90,0.24,0.09,0.11,439,31,184
569,Agra,61.18,15.68,46.08,"1,310",45.20,9.12,2.92,0.26,0.11,0.21,444,32,352
570,Moradabad,47.86,22.47,30.30,"1,202",45.20,10.12,3.69,0.27,0.12,0.16,445,33,384
571,Sant Kabir Nagar,54.80,41.74,32.89,"1,104",45.44,8.94,2.59,0.25,0.11,0.25,449,34,192
572,Chandauli,60.35,34.95,35.17,"1,195",46.33,10.04,3.00,0.30,0.15,0.38,454,35,192
573,Allahabad,60.97,21.82,42.66,"1,382",46.49,10.23,3.06,0.37,0.23,0.70,458,36,381
574,Budaun,40.09,22.23,24.64,"1,074",46.98,9.92,3.00,0.22,0.09,0.52,463,37,320
575,Shahjahanpur,49.57,29.62,28.53,"1,081",47.25,10.43,3.16,0.21,0.07,0.10,465,38,224
576,Bahraich,39.18,38.65,24.88,"1,058",47.60,10.25,3.08,0.24,0.10,0.15,468,39,224
577,Kanshiram Nagar,49.00,21.31,27.12,"1,146",47.87,11.16,3.74,0.29,0.14,0.33,471,40,"7,018"
578,Firozabad,61.75,18.58,33.78,"1,131",48.01,11.43,3.66,0.24,0.09,0.14,472,41,254
579,Mahoba,53.22,31.00,29.86,"1,098",48.23,12.68,4.35,0.26,0.11,0.12,473,42,160
580,Ballia,59.75,33.64,31.43,"1,128",48.24,10.74,3.33,0.27,0.12,0.16,474,43,288
581,Mirzapur,56.86,32.41,34.76,"1,106",48.26,12.77,4.36,0.28,0.12,0.18,475,44,223
582,Hardoi,53.19,28.99,27.85,"1,036",48.68,10.19,3.10,0.21,0.07,0.14,480,45,320
583,Jaunpur,59.81,25.52,39.33,"1,059",48.72,9.38,2.40,0.23,0.09,0.47,481,46,320
584,Unnao,56.76,26.88,30.43,"1,102",48.78,12.94,4.80,0.27,0.12,0.17,483,47,256
585,Ambedkar Nagar,62.66,34.36,33.52,"1,071",48.92,10.64,3.51,0.22,0.08,0.10,485,48,224
586,Etah,58.80,22.59,31.73,"1,194",49.16,10.48,2.79,0.30,0.14,0.22,487,49,224
587,Rampur,44.44,29.47,33.66,"1,046",50.79,12.74,4.34,0.21,0.07,0.07,497,50,192
588,Jalaun,62.46,35.37,32.45,"1,118",50.98,12.22,4.48,0.28,0.13,0.19,499,51,192
589,Balrampur,38.43,38.39,27.54,969,51.35,11.25,3.94,0.20,0.07,0.07,506,52,191
590,Gonda,47.09,33.13,32.05,988,51.45,12.82,4.13,0.24,0.09,0.14,507,53,320
591,Maharajganj,48.92,49.20,30.78,"1,008",51.85,13.84,5.01,0.26,0.11,0.15,511,54,224
592,Barabanki,52.34,30.70,31.39,948,52.24,11.74,3.93,0.19,0.06,0.10,515,55,288
593,Chitrakoot,52.74,30.41,24.99,950,53.27,10.40,2.96,0.17,0.05,0.06,522,56,160
594,Sitapur,50.67,31.06,25.86,"1,089",53.28,11.13,3.06,0.26,0.12,0.24,523,57,320
595,Azamgarh,60.91,29.53,36.00,"1,116",54.14,8.91,2.35,0.27,0.12,0.29,526,58,320
596,Fatehpur,56.58,34.26,30.54,986,54.48,10.07,2.57,0.19,0.06,0.08,528,59,223
597,Basti,56.23,32.96,35.35,"1,062",55.64,15.50,6.30,0.31,0.16,0.24,538,60,223
598,Faizabad,59.03,29.70,36.75,"1,212",57.04,16.35,6.19,0.39,0.25,0.58,546,61,190
599,Sonbhadra,52.14,43.25,28.35,"1,016",57.26,14.44,5.03,0.27,0.12,0.17,548,62,192
600,Mainpuri,66.30,23.07,31.06,997,57.40,15.35,5.75,0.25,0.10,0.15,552,63,192
601,Rae Bareli,56.29,38.55,32.50,956,58.40,13.67,4.38,0.22,0.08,0.14,556,64,320
602,Pratapgarh,58.45,32.37,39.93,974,58.59,12.50,3.93,0.23,0.10,0.38,558,65,319
603,Hamirpur,55.95,35.17,27.16,"1,064",59.29,12.43,4.25,0.24,0.09,0.14,564,66,160
604,Mau,63.63,27.70,32.04,"1,092",59.74,15.98,5.52,0.28,0.12,0.18,565,67,192
605,Banda,53.67,32.57,24.42,956,61.90,13.66,3.89,0.22,0.08,0.11,575,68,192
606,Kaushambi,48.56,39.85,29.63,910,62.12,19.55,8.13,0.27,0.11,0.14,577,69,191
607,Sant Ravidas Nagar,56.03,19.95,36.31,923,62.65,17.74,6.80,0.24,0.09,0.13,578,70,192
608,Bhadohi Kannauj,63.33,23.54,28.84,953,65.49,16.05,5.91,0.25,0.10,0.16,585,71,192
,Uttar Pradesh,57.18,27.30,35.12,"1,274",43.23,9.75,3.17,0.31,0.16,0.40,,,"18,008"
609,Chamoli,72.32,1.88,22.04,"1,537",8.55,1.40,0.31,0.20,0.06,0.09,38,1,192
610,Rudraprayag,70.35,2.10,22.21,"1,474",9.04,1.50,0.45,0.19,0.06,0.08,47,2,192
611,Tehri Garhwal,64.28,2.34,22.73,"1,548",9.23,1.06,0.21,0.20,0.07,0.11,49,3,247
612,Pithoragarh,72.29,2.05,21.56,"1,663",10.08,1.33,0.29,0.25,0.10,0.15,57,4,192
613,Bageshwar,69.03,6.28,19.43,"1,626",14.08,1.79,0.44,0.26,0.11,0.23,95,5,192
614,Uttarkashi,62.35,2.24,19.41,"1,525",14.91,1.98,0.41,0.21,0.07,0.10,110,6,192
615,Dehradun,78.54,5.94,51.97,"2,091",17.90,3.72,1.16,0.28,0.13,0.16,158,7,501
616,Haridwar,64.79,16.54,43.87,"3,063",19.36,1.93,0.37,0.48,0.39,0.65,174,8,380
617,Garhwal,72.60,4.43,26.72,"1,557",21.98,3.61,0.96,0.26,0.11,0.15,211,9,320
618,Almora,69.93,2.82,23.50,"1,541",22.57,3.55,0.86,0.27,0.12,0.20,215,10,256
619,Champawat,68.05,3.50,22.02,"1,514",26.74,5.72,2.23,0.29,0.14,0.19,261,11,128
620,Udham Singh Nagar,64.45,23.95,40.89,"1,596",32.53,7.51,2.40,0.30,0.14,0.38,308,12,383
621,Nainital,77.29,7.56,37.38,"1,653",38.99,8.62,2.79,0.33,0.17,0.27,382,13,382
,Uttarakhand,70.01,9.10,35.10,"1,938",21.49,3.93,1.16,0.35,0.21,0.46,,,"3,557"
622,Kolkata,84.06,0.57,49.66,"3,408",15.17,3.00,0.87,0.40,0.26,0.43,116,1,955
623,Jalpaiguri,66.23,20.09,20.81,"1,303",23.05,4.04,1.17,0.22,0.08,0.10,219,2,512
624,Darjeeling,73.33,8.38,29.26,"1,685",25.42,4.77,1.22,0.28,0.13,0.21,247,3,320
625,North Twenty Four,80.34,15.68,33.26,"2,036",26.19,5.67,1.79,0.38,0.23,0.40,255,4,"1,470"
626,Parganas Haora,79.43,9.56,34.59,"1,789",26.23,4.54,1.31,0.31,0.15,0.29,256,5,768
627,Purba Medinipur,81.37,35.35,22.33,"1,450",29.33,5.96,1.66,0.32,0.17,0.38,281,6,632
628,Maldah,56.96,32.80,15.99,"1,309",29.83,5.33,1.52,0.26,0.11,0.21,282,7,504
629,South Twenty Four,71.40,26.14,22.84,"1,394",30.63,6.81,2.19,0.29,0.14,0.23,290,8,895
630,Parganas Koch Bihar,68.49,29.46,15.41,"1,185",32.88,5.90,1.45,0.20,0.07,0.10,313,9,384
631,Paschim Medinipur,70.50,39.02,24.74,"1,349",33.31,7.36,2.29,0.28,0.12,0.18,318,10,704
632,Birbhum,64.14,42.28,18.42,"1,194",33.50,7.71,2.61,0.24,0.09,0.15,320,11,448
633,Murshidabad,63.09,31.37,16.88,"1,211",35.31,6.89,2.10,0.22,0.08,0.13,339,12,758
634,Bankura,60.05,38.47,22.87,"1,191",40.07,7.69,2.19,0.25,0.10,0.15,392,13,512
635,Barddhaman,69.63,29.05,30.39,"1,442",41.55,8.98,2.85,0.31,0.16,0.41,408,14,"1,088"
636,Dakshin Dinajpur,67.01,33.38,19.33,"1,171",41.86,6.95,1.82,0.24,0.10,0.24,411,15,320
637,Hugli,76.36,23.25,34.16,"1,353",42.32,9.38,2.91,0.28,0.13,0.19,418,16,832
638,Nadia,70.98,28.81,22.96,"1,241",43.06,8.44,2.55,0.25,0.10,0.17,428,17,704
639,Uttar Dinajpur,52.17,35.96,17.52,"1,099",51.72,12.83,4.94,0.28,0.13,0.22,509,18,382
640,Puruliya,50.52,36.22,19.62,"1,026",53.21,11.93,3.90,0.23,0.08,0.12,520,19,448
,West Bengal,70.54,26.65,25.90,"1,525",33.53,6.95,2.15,0.33,0.18,0.40,,,12636
